target,species
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Asparagus_officinalis
Man(a1-3)[Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Asparagus_officinalis
Man(a1-3)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Aspergillus_awamori
Man(a1-3)Man(b1-4)GlcNAc(b1-4)GlcNAc,Aspergillus_awamori
Man(a1-3)Man(a1-2)Man(a1-2)Man,Aspergillus_awamori
Man(a1-2)Man(a1-2)Man,Aspergillus_awamori
Man(a1-3)Man(a1-3)Man(a1-2)Man(a1-2)Man,Aspergillus_awamori
Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Asterias_rubens
Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Asterias_rubens
Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Asterias_rubens
Glc(a1-2)Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Asterias_rubens
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Autographa_californica_nucleopolyhedrovirus
GlcNAc(a1-2)Galf(a1-2)[Galf(b1-3)]Gal,Bacteroides_cellulosolvens
Galf(a1-3)GlcNAc(a1-2)Galf(a1-2)[Galf(b1-3)]Gal,Bacteroides_cellulosolvens
GlcNAc(a1-2)Galf(a1-2)Gal,Bacteroides_cellulosolvens
GlcNAc(a1-4)Gal(b1-3)[Fuc(a1-4)[GlcNAc(b1-3)]GlcNAc(b1-6)]GalNAc,Bombina_bombina
GlcNAc(a1-4)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,Bombina_bombina
GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-3)][Fuc(a1-4)]GlcNAc(b1-6)][GlcNAc(a1-4)Gal(b1-3)]GlcNAc,Bombina_bombina
